frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
154,7.7,0.5,11.3,15.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
155,7.75,0.62,11.75,15.48,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
156,7.8,0.62,11.75,15.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
157,7.85,0.8,12.38,15.78,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
158,7.9,0.98,13.0,15.87,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
159,7.95,1.12,13.51,15.8,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
160,8.0,1.23,13.9,15.72,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
161,8.05,1.41,14.52,16.09,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
162,8.1,1.59,15.15,16.35,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
163,8.15,1.77,15.77,16.15,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
164,8.2,1.95,16.4,16.22,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
165,8.25,2.11,17.03,11.63,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
166,8.3,2.24,17.66,12.06,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
167,8.35,2.24,17.66,11.58,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
168,8.4,2.33,18.09,11.71,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
169,8.45,2.33,18.09,11.87,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
170,8.5,2.33,18.09,12.21,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
171,8.55,2.33,18.09,12.28,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
172,8.6,2.33,18.09,12.14,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
173,8.65,2.33,18.09,7.55,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
174,8.7,2.33,18.09,7.6,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
175,8.75,2.33,18.09,9.93,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
176,8.8,2.42,18.59,11.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
177,8.85,2.55,19.23,10.88,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
178,8.9,2.55,19.23,6.29,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
179,8.95,2.62,19.87,6.56,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
180,9.0,2.62,19.87,6.21,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
181,9.05,2.62,19.87,5.8,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
182,9.1,2.62,19.87,6.38,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
183,9.15,2.62,19.87,10.96,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
184,9.2,2.62,19.87,8.11,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
185,9.25,2.62,19.87,8.18,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
186,9.3,2.62,19.87,7.89,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
187,9.35,2.62,19.87,8.24,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
188,9.4,2.62,19.87,8.2,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
189,9.45,2.62,19.87,3.61,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
190,9.5,2.62,19.87,3.47,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
191,9.55,2.62,19.87,8.05,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
192,9.6,2.62,19.87,12.64,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
193,9.65,2.62,19.87,11.99,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
194,9.7,2.62,19.87,11.58,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
195,9.75,2.62,19.87,11.3,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
196,9.8,2.62,19.87,11.78,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
197,9.85,2.72,20.36,11.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
198,9.9,2.84,20.95,11.86,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
199,9.95,2.98,21.58,11.94,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
200,10.0,3.12,22.22,12.61,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
201,10.05,3.26,22.85,12.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
202,10.1,3.26,22.85,12.28,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
203,10.15,3.36,23.34,12.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
204,10.2,3.36,23.34,12.32,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
205,10.25,3.36,23.34,12.6,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
206,10.3,3.36,23.34,12.93,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
207,10.35,3.36,23.34,12.76,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
208,10.4,3.36,23.34,8.32,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
209,10.45,3.36,23.34,8.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
210,10.5,3.36,23.34,8.6,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
211,10.55,3.36,23.34,8.7,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
212,10.6,3.36,23.34,8.23,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
213,10.65,3.36,23.34,8.59,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
214,10.7,3.36,23.34,4.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
215,10.75,3.36,23.34,3.6,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
216,10.8,3.36,23.34,-0.99,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
217,10.85,3.36,23.34,-0.84,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
218,10.9,3.36,23.34,-0.5,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
219,10.95,3.36,23.34,4.09,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
220,11.0,3.36,23.34,5.03,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
221,11.05,3.36,23.34,4.79,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
222,11.1,3.36,23.34,4.27,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
223,11.15,3.36,23.34,3.37,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
224,11.2,3.36,23.34,-1.21,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
225,11.25,3.36,23.34,-1.2,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
226,11.3,3.36,23.34,-0.71,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
227,11.35,3.36,23.34,3.87,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
228,11.4,3.36,23.34,4.21,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
229,11.45,3.36,23.34,4.9,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
230,11.5,3.36,23.34,9.3,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
231,11.55,3.36,23.34,5.34,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
232,11.6,3.36,23.34,3.05,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
233,11.65,3.36,23.34,7.63,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
234,11.7,3.36,23.34,7.67,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
235,11.75,3.36,23.34,12.25,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
236,11.8,3.36,23.34,12.24,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
237,11.85,3.36,23.34,11.46,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
238,11.9,3.36,23.34,11.88,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
